Metric,Value,Unit
Throughput,51.56762136838673,Requests/Second
Average Response Time,1353.2029950083195,ms
Error Rate,0.0,%
Average Latency,1353.1374376039932,ms
Total Data Received,1289037.0,Bytes
Total Data Sent,1454087.0,Bytes
Response Code 200,1004.0,Count
Response Code 302,1001.0,Count
Response Code 201,1000.0,Count
